id,name,full_name,url,description,last_updated,flavors,curse_id,wago_id,wowi_id,has_release_json,last_seen,downloads,release_count
559963954,ClickCastingTab,AvyAddons/ClickCastingTab,https://github.com/AvyAddons/ClickCastingTab,Adds a tab to the spellbook to quickly open the Click Casting window.,2025-10-08T05:48:42Z,mainline,695547,lQNlWEGe,,True,2026-04-05T23:28:23Z,3375,20
357346561,AddOnSkins,Azilroka/AddOnSkins,https://github.com/Azilroka/AddOnSkins,,2025-07-06T13:17:02Z,"mainline,vanilla,mists",54541,RXKqy5Ky,,True,2026-04-05T23:28:23Z,710232,21
358978929,ClassTactics,Azilroka/ClassTactics,https://github.com/Azilroka/ClassTactics,,2022-01-01T00:47:48Z,"mainline,vanilla,tbc",473120,rkGrqrKy,,True,2026-04-05T23:28:23Z,342,1
359012539,ElvUI_TinkerToolbox,Azilroka/ElvUI_TinkerToolbox,https://github.com/Azilroka/ElvUI_TinkerToolbox,,2024-09-17T13:55:01Z,"mainline,vanilla,cata",473233,Xb6X8o6p,,True,2026-04-05T23:28:23Z,56758,16
358084973,ProjectAzilroka,Azilroka/ProjectAzilroka,https://github.com/Azilroka/ProjectAzilroka,,2025-09-02T23:32:02Z,"mainline,vanilla,cata",311661,baNDy46o,,True,2026-04-05T23:28:23Z,259886,22
472104447,PallyPower,AznamirWoW/PallyPower,https://github.com/AznamirWoW/PallyPower,The official repository of PallyPower for retail version of World of Warcraft Classic/TBC,2026-01-16T03:11:47Z,"vanilla,tbc,wrath",2703,,,True,2026-04-05T23:28:23Z,878609,43
66207633,ThreatPlates,Backupiseasy/ThreatPlates,https://github.com/Backupiseasy/ThreatPlates,Nameplate addon for World of Warcraft,2026-03-22T18:28:17Z,mainline,21217,RqGZkkNd,15749,True,2026-04-05T23:28:23Z,142886,252
559531860,Aijsons,Baiyah7o/Aijsons,https://github.com/Baiyah7o/Aijsons,My basic World of Warcraft mods.,2023-06-09T08:29:45Z,mainline,,,,True,2026-04-05T23:28:23Z,1374,41
792026015,dbm-voicepack-battlebrisket,BattleBrisket/dbm-voicepack-battlebrisket,https://github.com/BattleBrisket/dbm-voicepack-battlebrisket,Recorded US English voice lines for DeadlyBossMods,2024-08-08T20:14:34Z,mainline,984591,rNkPRl6a,,True,2026-04-05T23:28:23Z,218,1
792790754,sharedmedia-battlebrisket-vo,BattleBrisket/sharedmedia-battlebrisket-vo,https://github.com/BattleBrisket/sharedmedia-battlebrisket-vo,,2024-08-17T23:56:57Z,"mainline,vanilla,tbc,wrath,cata",1009923,96doJENO,,True,2026-04-05T23:28:23Z,129,9
